stop_name,route,lat,lon
Автостанция,5,51.520465,104.1332305
Автостанция,6,51.520465,104.1332305
Автостанция,4,51.520465,104.1332305
Гагарина,5,51.5192895,104.1504241
Гагарина,6,51.5192895,104.1504241
Гагарина,4,51.5192895,104.1504241
Дачи,4,51.498685,104.210784
Ж/д вокзал,4,51.500202,104.227218
Маяк,5,51.51958,104.138856
Маяк,6,51.51958,104.138856
Маяк,4,51.51958,104.138856
МЖК,5,51.5235653,104.1344922
МЖК,6,51.5235653,104.1344922
МЖК,4,51.5235653,104.1344922
Общежития,5,51.5234347,104.1400732
Общежития,6,51.5234347,104.1400732
Общежития,4,51.5234347,104.1400732
Площадь Юбилейная,5,51.50934,104.141624
Площадь Юбилейная,6,51.50934,104.141624
Площадь Юбилейная,4,51.50934,104.141624
Пост ГИБДД,5,51.515728,104.13762
Пост ГИБДД,6,51.515728,104.13762
Привокзальная,5,51.5172354,104.1382123
Привокзальная,6,51.5172354,104.1382123
Привокзальная,4,51.5172354,104.1382123
Ракета,4,51.512449,104.1440965
Сангородок,5,51.51294,104.122205
Сангородок,6,51.51294,104.122205
Солзан,4,51.4165695,104.0428354
Спорткомплекс,5,51.5231352,104.1479259
Спорткомплекс,6,51.5231352,104.1479259
Спорткомплекс,4,51.5231352,104.1479259
202 км,4,51.5171917,104.1410261
